is_done	is_accepted	Title	Type	Детали	Рискованность	Важность
TRUE	TRUE	Разделить presentation time formatting	рефакторинг	Разделить текущий time module на parsing, TimeContext и display formatting, сохранив все пользовательские строки и timezone rules; перенести существующие тесты по новым модулям и добавить fixtures для граничных timestamps.	6	9
TRUE	TRUE	Разделить provider-block presentation	рефакторинг	Изолировать построение provider heading и block от форматирования limits и usage, убрать подтверждённое дублирование общих presentation helpers, сохранить CLI output и добавить golden fixtures для provider blocks.	6	8
TRUE	TRUE	Перестроить desktop provider boundary	рефакторинг	Разделить Tauri IPC handlers, ProviderLimits DTO, StructuredSourceInfo projection и ProviderLimitsQuery mapping, удалить неиспользуемый aggregate get_provider_limits handler, сохранить command names, camelCase JSON и spawn_blocking, добавить serialization tests для success, no-data, authorization и error и обновить desktop architecture docs.	7	10
TRUE	FALSE	Разделить frontend CSS по областям	рефакторинг	Разнести styles.css на tokens/base, showcase, toolbar, settings, providers, help через @import в исходном порядке cascade; убрать мёртвые селекторы/токены, объединить повторяющиеся control-паттерны без смены визуала; responsive оставлен рядом с областями; visual baselines не добавлялись.	7	9
TRUE	TRUE	Разделить CLI на самостоятельные слои	рефакторинг	Разделить src/cli/mod.rs на options parsing, execution orchestration и exit-code handling, сохранить flags, defaults, stdout и stderr contract, добавить golden fixtures для success, partial и error сценариев и обновить CLI architecture docs.	7	9
TRUE	TRUE	Включить строгий Tauri CSP	безопасность	Включён restrictive CSP для локальных scripts, styles, fonts и assets, `data:` CSS-иконки и внутреннего Tauri IPC; inline-style индикатора лимита заменён на семантический progress. Выполнен smoke-check основных экранов и всех allowlisted ссылок.	7	9
TRUE	TRUE	Перестроить get_limits как единый orchestration package	рефакторинг	В одном изменении разделить SourcePlan definitions, source-chain mappings, UI plan mapping, fallback executor, usable и preferred-unusable policies и freshness policy, удалить неиспользуемые get_limits и get_source_data API, сохранить единый публичный фасад, добавить characterization tests для всех chains, authorization priority, stale rejection и grace period и обновить get-limits docs.	8	10
TRUE	TRUE	Декомпозировать Claude local provider	рефакторинг	В одном изменении разделить filesystem scanner, transcript parser, reset-anchor parser, usage accumulator и StructuredSourceInfo projection, сохранив collect как фасад; перенести fixtures и тесты всех tolerant parsing, reset и aggregation cases и обновить provider code-structure docs.	8	10
TRUE	TRUE	Декомпозировать Codex local provider	рефакторинг	В одном изменении разделить filesystem scanner, token-event parser, rate-limit parser, usage accumulator и raw/structured projection, сохранив collect, get_usage и decode_raw как фасад; перенести fixtures и тесты parsing и aggregation и обновить provider code-structure docs.	8	10
TRUE	TRUE	Декомпозировать Codex CLI provider	рефакторинг	В одном изменении разделить login check и command runner, terminal normalizer, limits parser и SourceData projection, сохранив authorization и error contracts; добавить parser fixtures и integration-boundary tests и обновить provider code-structure docs.	8	10
TRUE	TRUE	Декомпозировать Claude CLI provider	рефакторинг	В одном изменении разделить PTY/expect runner, terminal normalizer, percentages/money/tokens parser и SourceData projection, сохранив authorization и error contracts; добавить parser fixtures и integration-boundary tests и обновить provider code-structure docs.	8	10
TRUE	TRUE	Декомпозировать Cursor API2 provider	рефакторинг	В одном изменении разделить token/HTTP transport, внутренний response decoder, billing/limits mapping и diagnostics, сохранив collect_usage и build_source_data как фасад и текущую трактовку endpoint; добавить fixtures для success, partial, malformed и access-denied responses и обновить provider docs.	9	10
FALSE	FALSE	Защитить notification bridge	безопасность	В одном изменении добавить аутентификацию локальных запросов к notification bridge, read timeout и независимую обработку соединений либо заменить TCP bridge на доверенный IPC; сохранить пользовательское поведение уведомлений и добавить tests для unauthorized, stalled и concurrent clients.	9	10
